year,country,cluster_kmeans_standard,cluster_kmeans_minmax,cluster_kmeans_raw,cluster_ward,cluster_dbscan
2018,Iraq,2,0,2,1,-1
2018,Ireland,1,2,0,0,1
2018,Israel,1,2,0,0,1
2018,Italy,2,0,0,2,0
2018,Ivory Coast,0,1,1,1,2
2018,Jamaica,2,0,2,2,0
2018,Japan,2,0,0,2,-1
2018,Jordan,2,0,2,2,0
2018,Kazakhstan,2,0,0,2,0
2018,Kenya,0,1,1,2,-1
2018,Kosovo,2,0,2,2,-1
2018,Kuwait,2,0,0,2,-1
2018,Kyrgyzstan,2,0,2,2,-1
2018,Laos,0,1,2,2,-1
2018,Latvia,2,0,2,2,0
2018,Lebanon,2,0,2,2,0
2018,Lesotho,0,1,1,1,3
2018,Liberia,0,1,1,1,-1
2018,Libya,2,0,2,2,0
2018,Lithuania,2,0,0,2,0
2018,Luxembourg,1,2,0,0,1
2018,Madagascar,0,1,1,1,-1
2018,Malawi,0,1,1,1,-1
2018,Malaysia,2,0,2,2,-1
2018,Mali,0,1,1,1,3
2018,Malta,1,2,0,2,-1
2018,Mauritania,0,1,1,1,-1
2018,Mauritius,2,0,2,2,-1
2018,Mexico,2,0,2,2,0
2018,Moldova,2,0,2,1,-1
2018,Mongolia,2,0,2,2,-1
2018,Montenegro,2,0,2,2,0
2018,Morocco,2,0,2,1,-1
2018,Mozambique,0,1,1,1,-1
2018,Myanmar,1,1,2,2,-1
2018,Namibia,2,0,2,2,-1
2018,Nepal,0,1,1,2,-1
2018,Netherlands,1,2,0,0,1
2018,New Zealand,1,2,0,0,1
2018,Nicaragua,2,0,2,2,0
2018,Niger,0,1,1,1,2
2018,Nigeria,0,1,1,1,-1
2018,North Macedonia,2,0,2,2,0
2018,Northern Cyprus,2,0,0,2,-1
2018,Norway,1,2,0,0,1
2018,Pakistan,0,1,1,1,-1
2018,Palestinian Territories,2,0,2,1,-1
2018,Panama,2,0,0,2,0
2018,Paraguay,2,0,2,2,0
2018,Peru,2,0,2,2,0
2018,Philippines,2,0,2,2,0
2018,Poland,2,0,0,2,0
2018,Portugal,2,0,0,2,0
2018,Qatar,1,2,0,2,-1
2018,Romania,2,0,2,2,0
2018,Russia,2,0,2,2,0
2018,Rwanda,0,1,1,1,-1
2018,Saudi Arabia,2,0,0,2,-1
2018,Senegal,0,1,1,1,3
2018,Serbia,2,0,2,2,0
2018,Sierra Leone,0,1,1,1,-1
2018,Singapore,1,2,0,0,-1
2018,Slovakia,2,0,0,2,0
2018,Slovenia,2,0,0,2,0
2018,Somalia,0,1,1,1,-1
2018,South Africa,2,0,2,2,-1
2018,South Korea,2,0,0,2,-1
2018,South Sudan,0,1,1,1,-1
2018,Spain,2,0,0,2,-1
2018,Sri Lanka,2,0,2,2,-1
2018,Sudan,0,1,1,1,-1
2018,Sweden,1,2,0,0,1
2018,Switzerland,1,2,0,0,1
2018,Syria,0,1,1,1,-1
2018,Taiwan,2,0,0,2,0
2018,Tajikistan,0,1,1,1,-1
2018,Tanzania,0,1,1,1,2
2018,Thailand,2,0,2,2,-1
2018,Togo,0,1,1,1,-1
2018,Trinidad and Tobago,2,0,0,2,-1
2018,Tunisia,2,0,2,1,-1
2018,Turkey,2,0,2,2,0
2018,Turkmenistan,2,0,2,2,-1
2018,Uganda,0,1,1,1,2
2018,Ukraine,2,0,2,1,-1
2018,United Kingdom,2,0,0,2,0
2018,United States,1,2,0,2,-1
2018,Uruguay,2,0,0,2,0
2018,Uzbekistan,1,2,2,2,-1
2018,Venezuela,2,0,2,2,-1
2018,Vietnam,2,0,2,2,0
2018,Yemen,0,1,1,1,-1
2018,Zambia,0,1,1,1,2
2018,Zimbabwe,0,1,1,1,3
