year,country,cluster_kmeans_standard,cluster_kmeans_minmax,cluster_kmeans_raw,cluster_ward,cluster_dbscan
2018,Afghanistan,0,1,1,1,-1
2018,Albania,2,0,2,1,-1
2018,Algeria,2,0,2,2,-1
2018,Angola,0,1,1,1,-1
2018,Argentina,2,0,0,2,0
2018,Armenia,2,0,2,1,-1
2018,Australia,1,2,0,0,1
2018,Austria,1,2,0,0,1
2018,Azerbaijan,2,0,2,2,-1
2018,Bahrain,2,0,0,2,-1
2018,Bangladesh,0,1,1,1,-1
2018,Belarus,2,0,2,2,0
2018,Belgium,1,2,0,0,1
2018,Belize,2,0,2,2,0
2018,Benin,0,1,1,1,-1
2018,Bhutan,1,0,2,2,-1
2018,Bolivia,2,0,2,2,0
2018,Bosnia and Herzegovina,2,0,2,1,-1
2018,Botswana,2,0,2,2,-1
2018,Brazil,2,0,2,2,0
2018,Bulgaria,2,0,2,2,0
2018,Burkina Faso,0,1,1,1,3
2018,Burundi,0,1,1,1,-1
2018,Cambodia,0,1,1,2,-1
2018,Cameroon,0,1,1,1,2
2018,Canada,1,2,0,0,1
2018,Central African Republic,0,1,1,1,-1
2018,Chad,0,1,1,1,-1
2018,Chile,2,0,0,2,0
2018,China,2,0,2,2,0
2018,Colombia,2,0,2,2,0
2018,Congo (Brazzaville),0,1,1,1,-1
2018,Congo (Kinshasa),0,1,1,1,-1
2018,Costa Rica,2,0,0,2,0
2018,Croatia,2,0,2,2,0
2018,Cyprus,2,0,0,2,0
2018,Czech Republic,2,0,0,2,0
2018,Denmark,1,2,0,0,1
2018,Dominican Republic,2,0,2,2,0
2018,Ecuador,2,0,2,2,0
2018,Egypt,2,0,2,1,-1
2018,El Salvador,2,0,2,2,0
2018,Estonia,2,0,0,2,0
2018,Ethiopia,0,1,1,1,2
2018,Finland,1,2,0,0,1
2018,France,2,0,0,2,-1
2018,Gabon,2,0,2,2,-1
2018,Georgia,0,0,1,1,-1
2018,Germany,1,2,0,0,1
2018,Ghana,0,1,1,1,2
2018,Greece,2,0,2,2,-1
2018,Guatemala,2,0,2,2,0
2018,Guinea,0,1,1,1,2
2018,Haiti,0,1,1,1,-1
2018,Honduras,2,0,2,2,0
2018,Hong Kong,1,2,0,0,-1
2018,Hungary,2,0,2,2,0
2018,Iceland,1,2,0,2,-1
2018,India,0,1,1,1,-1
2018,Indonesia,2,0,2,2,-1
2018,Iran,2,0,2,1,-1
