year,country,cluster_kmeans_standard,cluster_kmeans_minmax,cluster_kmeans_raw,cluster_ward,cluster_dbscan
2016,Afghanistan,2,1,2,2,-1
2016,Albania,1,2,0,1,0
2016,Algeria,1,2,0,1,0
2016,Angola,2,1,2,2,-1
2016,Argentina,1,2,0,1,0
2016,Armenia,1,2,0,1,-1
2016,Australia,0,0,1,0,1
2016,Austria,0,0,1,0,1
2016,Azerbaijan,1,2,0,1,0
2016,Bahrain,0,0,1,1,2
2016,Bangladesh,2,1,2,2,-1
2016,Belarus,1,2,0,1,0
2016,Belgium,0,0,1,0,1
2016,Belize,1,2,0,1,0
2016,Benin,2,1,2,2,-1
2016,Bhutan,0,2,0,2,-1
2016,Bolivia,1,2,0,1,0
2016,Bosnia and Herzegovina,1,2,0,1,-1
2016,Botswana,1,2,0,1,0
2016,Brazil,1,2,0,1,0
2016,Bulgaria,1,2,0,1,0
2016,Burkina Faso,2,1,2,2,4
2016,Burundi,2,1,2,2,-1
2016,Cambodia,2,1,2,2,-1
2016,Cameroon,2,1,2,2,3
2016,Canada,0,0,1,0,1
2016,Chad,2,1,2,2,-1
2016,Chile,1,2,1,1,0
2016,China,1,2,0,1,0
2016,Colombia,1,2,0,1,0
2016,Comoros,2,1,2,2,-1
2016,Congo (Brazzaville),2,1,2,2,3
2016,Congo (Kinshasa),2,1,2,2,-1
2016,Costa Rica,1,2,0,1,0
2016,Croatia,1,2,0,1,0
2016,Cyprus,1,2,1,1,0
2016,Czech Republic,1,2,1,1,0
2016,Denmark,0,0,1,0,1
2016,Dominican Republic,1,2,0,1,0
2016,Ecuador,1,2,0,1,0
2016,Egypt,1,2,0,2,-1
2016,El Salvador,1,2,0,1,0
2016,Estonia,1,2,1,1,0
2016,Ethiopia,2,1,2,2,-1
2016,Finland,0,0,1,0,1
2016,France,1,0,1,1,0
2016,Gabon,1,2,0,2,-1
2016,Georgia,2,1,2,2,-1
2016,Germany,0,0,1,0,1
2016,Ghana,2,1,2,2,3
2016,Greece,1,2,0,1,-1
2016,Guatemala,1,2,0,1,0
2016,Guinea,2,1,2,2,-1
2016,Haiti,2,1,2,2,-1
2016,Honduras,1,2,0,1,0
2016,Hong Kong,0,0,1,0,-1
2016,Hungary,1,2,0,1,0
2016,Iceland,0,0,1,0,-1
2016,India,2,1,2,2,-1
2016,Indonesia,1,2,0,2,-1
2016,Iran,1,2,0,1,-1
2016,Iraq,1,2,0,2,-1
2016,Ireland,0,0,1,0,1
2016,Israel,1,2,1,1,0
2016,Italy,1,2,1,1,0
2016,Ivory Coast,2,1,2,2,3
2016,Jamaica,1,2,0,1,0
2016,Japan,1,0,1,1,0
2016,Jordan,1,2,0,1,0
2016,Kazakhstan,1,2,0,1,0
2016,Kenya,2,1,2,2,-1
2016,Kosovo,1,2,0,1,0
2016,Kuwait,1,0,1,1,2
2016,Kyrgyzstan,1,2,0,1,-1
2016,Laos,2,1,2,2,-1
2016,Latvia,1,2,0,1,0
2016,Lebanon,1,2,0,1,0
2016,Liberia,2,1,2,2,-1
2016,Libya,1,2,0,1,0
2016,Lithuania,1,2,0,1,0
2016,Luxembourg,0,0,1,0,1
