year,country,cluster_kmeans_standard,cluster_kmeans_minmax,cluster_kmeans_raw,cluster_ward,cluster_dbscan
2017,Afghanistan,1,2,2,1,-1
2017,Albania,0,0,1,2,-1
2017,Algeria,0,0,1,2,5
2017,Angola,1,2,2,2,-1
2017,Argentina,0,0,1,2,0
2017,Armenia,0,0,1,2,-1
2017,Australia,2,1,0,0,1
2017,Austria,2,1,0,0,1
2017,Azerbaijan,0,0,1,2,-1
2017,Bahrain,2,1,0,2,1
2017,Bangladesh,1,2,2,1,-1
2017,Belarus,0,0,1,2,0
2017,Belgium,2,1,0,0,1
2017,Belize,0,0,1,2,0
2017,Benin,1,2,2,1,-1
2017,Bhutan,2,0,1,2,-1
2017,Bolivia,0,0,1,2,0
2017,Bosnia and Herzegovina,0,0,1,2,4
2017,Botswana,0,0,1,2,-1
2017,Brazil,0,0,1,2,0
2017,Bulgaria,0,0,1,2,0
2017,Burkina Faso,1,2,2,1,2
2017,Burundi,1,2,2,1,-1
2017,Cambodia,1,2,2,2,-1
2017,Cameroon,1,2,2,1,3
2017,Canada,2,1,0,0,1
2017,Central African Republic,1,2,2,1,-1
2017,Chad,1,2,2,1,-1
2017,Chile,0,0,0,2,4
2017,China,0,0,1,2,0
2017,Colombia,0,0,1,2,0
2017,Congo (Brazzaville),1,2,2,1,-1
2017,Congo (Kinshasa),1,2,2,1,-1
2017,Costa Rica,0,0,1,2,0
2017,Croatia,0,0,1,2,4
2017,Cyprus,0,0,0,2,4
2017,Czech Republic,0,0,0,2,0
2017,Denmark,2,1,0,0,1
2017,Dominican Republic,0,0,1,2,0
2017,Ecuador,0,0,1,2,0
2017,Egypt,0,0,1,2,5
2017,El Salvador,0,0,1,2,0
2017,Estonia,0,0,0,2,0
2017,Ethiopia,1,2,2,1,-1
2017,Finland,2,1,0,0,1
2017,France,0,0,0,2,-1
2017,Gabon,0,0,1,2,-1
2017,Georgia,1,0,1,2,-1
2017,Germany,2,1,0,0,1
2017,Ghana,1,2,2,1,3
2017,Greece,0,0,1,2,-1
2017,Guatemala,0,0,1,2,0
2017,Guinea,1,2,2,1,2
2017,Haiti,1,2,2,1,-1
2017,Honduras,0,0,1,2,4
2017,"Hong Kong S.A.R., China",2,1,0,0,-1
2017,Hungary,0,0,1,2,0
2017,Iceland,2,1,0,0,-1
2017,India,1,2,2,1,-1
2017,Indonesia,0,0,1,2,-1
2017,Iran,0,0,1,1,-1
2017,Iraq,0,0,1,2,5
2017,Ireland,2,1,0,0,1
2017,Israel,0,0,0,2,4
2017,Italy,0,0,0,2,0
2017,Ivory Coast,1,2,2,1,3
2017,Jamaica,0,0,1,2,0
2017,Japan,0,1,0,2,-1
2017,Jordan,0,0,1,2,0
2017,Kazakhstan,0,0,0,2,0
2017,Kenya,1,2,2,2,6
2017,Kosovo,0,0,1,2,4
2017,Kuwait,2,1,0,2,1
2017,Kyrgyzstan,0,0,1,2,-1
2017,Latvia,0,0,1,2,0
2017,Lebanon,0,0,1,2,4
2017,Lesotho,1,2,2,1,-1
2017,Liberia,1,2,2,1,2
2017,Libya,0,0,1,2,0
2017,Lithuania,0,0,1,2,0
2017,Luxembourg,2,1,0,0,1
2017,Madagascar,1,2,2,1,-1
2017,Malawi,1,2,2,1,-1
2017,Malaysia,0,0,0,2,-1
2017,Mali,1,2,2,1,2
2017,Malta,2,1,0,0,-1
2017,Mauritania,1,2,2,2,-1
2017,Mauritius,0,0,1,2,-1
2017,Mexico,0,0,1,2,0
2017,Moldova,0,0,1,2,4
2017,Mongolia,0,0,1,2,-1
2017,Montenegro,0,0,1,2,4
2017,Morocco,0,0,1,2,-1
2017,Mozambique,1,2,2,1,-1
2017,Myanmar,1,2,2,2,-1
2017,Namibia,0,0,1,2,-1
2017,Nepal,1,2,2,2,6
2017,Netherlands,2,1,0,0,1
2017,New Zealand,2,1,0,0,1
2017,Nicaragua,0,0,1,2,0
2017,Niger,1,2,2,1,2
2017,Nigeria,1,2,2,1,-1
2017,North Cyprus,0,0,0,2,-1
2017,North Macedonia,0,0,1,2,4
2017,Norway,2,1,0,0,1
2017,Pakistan,1,2,2,1,-1
2017,Palestinian Territories,0,0,1,2,5
2017,Panama,0,0,0,2,0
2017,Paraguay,0,0,1,2,0
2017,Peru,0,0,1,2,0
2017,Philippines,0,0,1,2,0
2017,Poland,0,0,0,2,0
2017,Portugal,0,0,0,2,0
2017,Qatar,2,1,0,0,-1
2017,Romania,0,0,1,2,0
2017,Russia,0,0,1,2,-1
2017,Rwanda,1,2,2,1,-1
2017,Saudi Arabia,2,1,0,2,1
2017,Senegal,1,2,2,1,-1
2017,Serbia,0,0,1,2,4
2017,Sierra Leone,1,2,2,1,-1
2017,Singapore,2,1,0,0,-1
2017,Slovakia,0,0,0,2,0
2017,Slovenia,0,0,0,2,0
2017,Somalia,1,2,2,1,-1
2017,South Africa,0,0,1,2,-1
2017,South Korea,0,0,0,2,4
2017,South Sudan,1,2,2,1,-1
2017,Spain,0,0,0,2,4
2017,Sri Lanka,0,0,1,2,-1
2017,Sudan,1,2,2,2,-1
2017,Sweden,2,1,0,0,1
2017,Switzerland,2,1,0,0,1
2017,Syria,1,2,2,1,-1
2017,Taiwan Province of China,0,0,0,2,4
2017,Tajikistan,0,0,2,2,-1
2017,Tanzania,1,2,2,2,6
2017,Thailand,2,0,1,2,-1
2017,Togo,1,2,2,1,-1
2017,Trinidad and Tobago,0,0,0,2,-1
2017,Tunisia,0,0,1,2,5
2017,Turkey,0,0,1,2,0
2017,Turkmenistan,2,0,1,2,-1
2017,Uganda,1,2,2,2,3
2017,Ukraine,0,0,1,2,4
2017,United Arab Emirates,2,1,0,0,1
2017,United Kingdom,2,1,0,0,1
2017,United States,2,1,0,2,-1
2017,Uruguay,0,1,0,2,0
2017,Uzbekistan,2,1,1,2,-1
2017,Venezuela,0,0,1,2,0
2017,Vietnam,0,0,1,2,0
2017,Yemen,1,2,2,1,-1
2017,Zambia,1,2,2,1,3
2017,Zimbabwe,1,2,2,1,2
